Instalment no.,Monthly payment,Principal,Interest,Balance
Instalment 1,1740.21,1227.2,513.01,121895.8
Instalment 2,1740.21,1232.31,507.9,120663.49
Instalment 3,1740.21,1237.44,502.76,119426.05
Instalment 4,1740.21,1242.6,497.61,118183.45
Instalment 5,1740.21,1247.78,492.43,116935.67
Instalment 6,1740.21,1252.98,487.23,115682.69
Instalment 7,1740.21,1258.2,482.01,114424.49
Instalment 8,1740.21,1263.44,476.77,113161.05
Instalment 9,1740.21,1268.7,471.5,111892.35
Instalment 10,1740.21,1273.99,466.22,110618.36
Instalment 11,1740.21,1279.3,460.91,109339.06
Instalment 12,1740.21,1284.63,455.58,108054.43
Instalment 13,1740.21,1289.98,450.23,106764.45
Instalment 14,1740.21,1295.36,444.85,105469.09
Instalment 15,1740.21,1300.75,439.45,104168.33
Instalment 16,1740.21,1306.17,434.03,102862.16
Instalment 17,1740.21,1311.62,428.59,101550.54
Instalment 18,1740.21,1317.08,423.13,100233.46
Instalment 19,1740.21,1322.57,417.64,98910.89
Instalment 20,1740.21,1328.08,412.13,97582.81
Instalment 21,1740.21,1333.61,406.6,96249.2
Instalment 22,1740.21,1339.17,401.04,94910.02
Instalment 23,1740.21,1344.75,395.46,93565.27
Instalment 24,1740.21,1350.35,389.86,92214.92
Instalment 25,1740.21,1355.98,384.23,90858.94
Instalment 26,1740.21,1361.63,378.58,89497.31
Instalment 27,1740.21,1367.3,372.91,88130.0
Instalment 28,1740.21,1373.0,367.21,86757.0
Instalment 29,1740.21,1378.72,361.49,85378.28
Instalment 30,1740.21,1384.47,355.74,83993.82
Instalment 31,1740.21,1390.24,349.97,82603.58
Instalment 32,1740.21,1396.03,344.18,81207.55
Instalment 33,1740.21,1401.84,338.36,79805.71
Instalment 34,1740.21,1407.69,332.52,78398.02
Instalment 35,1740.21,1413.55,326.66,76984.47
Instalment 36,1740.21,1419.44,320.77,75565.03
Instalment 37,1740.21,1425.35,314.85,74139.68
Instalment 38,1740.21,1431.29,308.92,72708.38
Instalment 39,1740.21,1437.26,302.95,71271.12
Instalment 40,1740.21,1443.25,296.96,69827.88
Instalment 41,1740.21,1449.26,290.95,68378.62
Instalment 42,1740.21,1455.3,284.91,66923.32
Instalment 43,1740.21,1461.36,278.85,65461.96
Instalment 44,1740.21,1467.45,272.76,63994.51
Instalment 45,1740.21,1473.57,266.64,62520.94
Instalment 46,1740.21,1479.71,260.5,61041.24
Instalment 47,1740.21,1485.87,254.34,59555.37
Instalment 48,1740.21,1492.06,248.15,58063.3
Instalment 49,1740.21,1498.28,241.93,56565.02
Instalment 50,1740.21,1504.52,235.69,55060.5
Instalment 51,1740.21,1510.79,229.42,53549.71
Instalment 52,1740.21,1517.09,223.12,52032.63
Instalment 53,1740.21,1523.41,216.8,50509.22
Instalment 54,1740.21,1529.75,210.46,48979.47
Instalment 55,1740.21,1536.13,204.08,47443.34
Instalment 56,1740.21,1542.53,197.68,45900.81
Instalment 57,1740.21,1548.96,191.25,44351.85
Instalment 58,1740.21,1555.41,184.8,42796.44
Instalment 59,1740.21,1561.89,178.32,41234.55
Instalment 60,1740.21,1568.4,171.81,39666.15
Instalment 61,1740.21,1574.93,165.28,38091.22
Instalment 62,1740.21,1581.5,158.71,36509.72
Instalment 63,1740.21,1588.09,152.12,34921.64
Instalment 64,1740.21,1594.7,145.51,33326.94
Instalment 65,1740.21,1601.35,138.86,31725.59
Instalment 66,1740.21,1608.02,132.19,30117.57
Instalment 67,1740.21,1614.72,125.49,28502.85
Instalment 68,1740.21,1621.45,118.76,26881.4
Instalment 69,1740.21,1628.2,112.01,25253.2
Instalment 70,1740.21,1634.99,105.22,23618.21
Instalment 71,1740.21,1641.8,98.41,21976.41
Instalment 72,1740.21,1648.64,91.57,20327.77
Instalment 73,1740.21,1655.51,84.7,18672.26
Instalment 74,1740.21,1662.41,77.8,17009.85
Instalment 75,1740.21,1669.33,70.87,15340.52
Instalment 76,1740.21,1676.29,63.92,13664.23
Instalment 77,1740.21,1683.28,56.93,11980.95
Instalment 78,1740.21,1690.29,49.92,10290.66
Instalment 79,1740.21,1697.33,42.88,8593.33
Instalment 80,1740.21,1704.4,35.81,6888.93
Instalment 81,1740.21,1711.51,28.7,5177.42
Instalment 82,1740.21,1718.64,21.57,3458.79
Instalment 83,1740.21,1725.8,14.41,1732.99
Instalment 84,1740.21,1732.99,7.22,-0.0
