Instalment no.,Monthly payment,Principal,Interest,Balance
Instalment 1,109.86,79.86,30.0,4420.14
Instalment 2,109.86,80.39,29.47,4339.75
Instalment 3,109.86,80.93,28.93,4258.82
Instalment 4,109.86,81.47,28.39,4177.36
Instalment 5,109.86,82.01,27.85,4095.35
Instalment 6,109.86,82.56,27.3,4012.79
Instalment 7,109.86,83.11,26.75,3929.69
Instalment 8,109.86,83.66,26.2,3846.03
Instalment 9,109.86,84.22,25.64,3761.81
Instalment 10,109.86,84.78,25.08,3677.03
Instalment 11,109.86,85.34,24.51,3591.69
Instalment 12,109.86,85.91,23.94,3505.77
Instalment 13,109.86,86.49,23.37,3419.29
Instalment 14,109.86,87.06,22.8,3332.22
Instalment 15,109.86,87.64,22.21,3244.58
Instalment 16,109.86,88.23,21.63,3156.35
Instalment 17,109.86,88.82,21.04,3067.54
Instalment 18,109.86,89.41,20.45,2978.13
Instalment 19,109.86,90.0,19.85,2888.12
Instalment 20,109.86,90.6,19.25,2797.52
Instalment 21,109.86,91.21,18.65,2706.31
Instalment 22,109.86,91.82,18.04,2614.5
Instalment 23,109.86,92.43,17.43,2522.07
Instalment 24,109.86,93.04,16.81,2429.02
Instalment 25,109.86,93.66,16.19,2335.36
Instalment 26,109.86,94.29,15.57,2241.07
Instalment 27,109.86,94.92,14.94,2146.15
Instalment 28,109.86,95.55,14.31,2050.6
Instalment 29,109.86,96.19,13.67,1954.41
Instalment 30,109.86,96.83,13.03,1857.59
Instalment 31,109.86,97.47,12.38,1760.11
Instalment 32,109.86,98.12,11.73,1661.99
Instalment 33,109.86,98.78,11.08,1563.21
Instalment 34,109.86,99.44,10.42,1463.77
Instalment 35,109.86,100.1,9.76,1363.67
Instalment 36,109.86,100.77,9.09,1262.91
Instalment 37,109.86,101.44,8.42,1161.47
Instalment 38,109.86,102.12,7.74,1059.35
Instalment 39,109.86,102.8,7.06,956.56
Instalment 40,109.86,103.48,6.38,853.07
Instalment 41,109.86,104.17,5.69,748.9
Instalment 42,109.86,104.87,4.99,644.04
Instalment 43,109.86,105.56,4.29,538.47
Instalment 44,109.86,106.27,3.59,432.21
Instalment 45,109.86,106.98,2.88,325.23
Instalment 46,109.86,107.69,2.17,217.54
Instalment 47,109.86,108.41,1.45,109.13
Instalment 48,109.86,109.13,0.73,-0.0
