Instalment no.,Monthly payment,Principal,Interest,Balance
Instalment 1,197.19,146.19,51.0,10053.81
Instalment 2,197.19,146.93,50.27,9906.88
Instalment 3,197.19,147.66,49.53,9759.22
Instalment 4,197.19,148.4,48.8,9610.82
Instalment 5,197.19,149.14,48.05,9461.68
Instalment 6,197.19,149.89,47.31,9311.79
Instalment 7,197.19,150.64,46.56,9161.16
Instalment 8,197.19,151.39,45.81,9009.77
Instalment 9,197.19,152.15,45.05,8857.62
Instalment 10,197.19,152.91,44.29,8704.72
Instalment 11,197.19,153.67,43.52,8551.05
Instalment 12,197.19,154.44,42.76,8396.61
Instalment 13,197.19,155.21,41.98,8241.4
Instalment 14,197.19,155.99,41.21,8085.41
Instalment 15,197.19,156.77,40.43,7928.64
Instalment 16,197.19,157.55,39.64,7771.09
Instalment 17,197.19,158.34,38.86,7612.75
Instalment 18,197.19,159.13,38.06,7453.62
Instalment 19,197.19,159.93,37.27,7293.69
Instalment 20,197.19,160.73,36.47,7132.97
Instalment 21,197.19,161.53,35.66,6971.44
Instalment 22,197.19,162.34,34.86,6809.1
Instalment 23,197.19,163.15,34.05,6645.95
Instalment 24,197.19,163.96,33.23,6481.99
Instalment 25,197.19,164.78,32.41,6317.2
Instalment 26,197.19,165.61,31.59,6151.59
Instalment 27,197.19,166.44,30.76,5985.16
Instalment 28,197.19,167.27,29.93,5817.89
Instalment 29,197.19,168.11,29.09,5649.78
Instalment 30,197.19,168.95,28.25,5480.84
Instalment 31,197.19,169.79,27.4,5311.05
Instalment 32,197.19,170.64,26.56,5140.41
Instalment 33,197.19,171.49,25.7,4968.91
Instalment 34,197.19,172.35,24.84,4796.56
Instalment 35,197.19,173.21,23.98,4623.35
Instalment 36,197.19,174.08,23.12,4449.27
Instalment 37,197.19,174.95,22.25,4274.33
Instalment 38,197.19,175.82,21.37,4098.5
Instalment 39,197.19,176.7,20.49,3921.8
Instalment 40,197.19,177.59,19.61,3744.22
Instalment 41,197.19,178.47,18.72,3565.74
Instalment 42,197.19,179.37,17.83,3386.38
Instalment 43,197.19,180.26,16.93,3206.11
Instalment 44,197.19,181.16,16.03,3024.95
Instalment 45,197.19,182.07,15.12,2842.88
Instalment 46,197.19,182.98,14.21,2659.9
Instalment 47,197.19,183.9,13.3,2476.0
Instalment 48,197.19,184.81,12.38,2291.19
Instalment 49,197.19,185.74,11.46,2105.45
Instalment 50,197.19,186.67,10.53,1918.78
Instalment 51,197.19,187.6,9.59,1731.18
Instalment 52,197.19,188.54,8.66,1542.65
Instalment 53,197.19,189.48,7.71,1353.16
Instalment 54,197.19,190.43,6.77,1162.74
Instalment 55,197.19,191.38,5.81,971.35
Instalment 56,197.19,192.34,4.86,779.02
Instalment 57,197.19,193.3,3.9,585.72
Instalment 58,197.19,194.27,2.93,391.45
Instalment 59,197.19,195.24,1.96,196.21
Instalment 60,197.19,196.21,0.98,-0.0
