Instalment no.,Monthly payment,Principal,Interest,Balance
Instalment 1,370.53,300.53,70.0,11699.47
Instalment 2,370.53,302.28,68.25,11397.2
Instalment 3,370.53,304.04,66.48,11093.16
Instalment 4,370.53,305.82,64.71,10787.34
Instalment 5,370.53,307.6,62.93,10479.74
Instalment 6,370.53,309.39,61.13,10170.35
Instalment 7,370.53,311.2,59.33,9859.15
Instalment 8,370.53,313.01,57.51,9546.14
Instalment 9,370.53,314.84,55.69,9231.3
Instalment 10,370.53,316.68,53.85,8914.62
Instalment 11,370.53,318.52,52.0,8596.1
Instalment 12,370.53,320.38,50.14,8275.72
Instalment 13,370.53,322.25,48.28,7953.47
Instalment 14,370.53,324.13,46.4,7629.34
Instalment 15,370.53,326.02,44.5,7303.32
Instalment 16,370.53,327.92,42.6,6975.39
Instalment 17,370.53,329.84,40.69,6645.56
Instalment 18,370.53,331.76,38.77,6313.8
Instalment 19,370.53,333.69,36.83,5980.1
Instalment 20,370.53,335.64,34.88,5644.46
Instalment 21,370.53,337.6,32.93,5306.86
Instalment 22,370.53,339.57,30.96,4967.29
Instalment 23,370.53,341.55,28.98,4625.75
Instalment 24,370.53,343.54,26.98,4282.2
Instalment 25,370.53,345.55,24.98,3936.66
Instalment 26,370.53,347.56,22.96,3589.1
Instalment 27,370.53,349.59,20.94,3239.51
Instalment 28,370.53,351.63,18.9,2887.88
Instalment 29,370.53,353.68,16.85,2534.2
Instalment 30,370.53,355.74,14.78,2178.46
Instalment 31,370.53,357.82,12.71,1820.64
Instalment 32,370.53,359.9,10.62,1460.74
Instalment 33,370.53,362.0,8.52,1098.73
Instalment 34,370.53,364.12,6.41,734.62
Instalment 35,370.53,366.24,4.29,368.38
Instalment 36,370.53,368.38,2.15,0.0
