Instalment 1,-1003.01,-573.67,-429.33,91426.33
Instalment 2,-1003.01,-576.35,-426.66,90849.98
Instalment 3,-1003.01,-579.04,-423.97,90270.94
Instalment 4,-1003.01,-581.74,-421.26,89689.19
Instalment 5,-1003.01,-584.46,-418.55,89104.74
Instalment 6,-1003.01,-587.18,-415.82,88517.55
Instalment 7,-1003.01,-589.92,-413.08,87927.63
Instalment 8,-1003.01,-592.68,-410.33,87334.95
Instalment 9,-1003.01,-595.44,-407.56,86739.51
Instalment 10,-1003.01,-598.22,-404.78,86141.28
Instalment 11,-1003.01,-601.01,-401.99,85540.27
Instalment 12,-1003.01,-603.82,-399.19,84936.45
Instalment 13,-1003.01,-606.64,-396.37,84329.82
Instalment 14,-1003.01,-609.47,-393.54,83720.35
Instalment 15,-1003.01,-612.31,-390.69,83108.04
Instalment 16,-1003.01,-615.17,-387.84,82492.87
Instalment 17,-1003.01,-618.04,-384.97,81874.83
Instalment 18,-1003.01,-620.92,-382.08,81253.9
Instalment 19,-1003.01,-623.82,-379.18,80630.08
Instalment 20,-1003.01,-626.73,-376.27,80003.35
Instalment 21,-1003.01,-629.66,-373.35,79373.69
Instalment 22,-1003.01,-632.6,-370.41,78741.1
Instalment 23,-1003.01,-635.55,-367.46,78105.55
Instalment 24,-1003.01,-638.51,-364.49,77467.03
Instalment 25,-1003.01,-641.49,-361.51,76825.54
Instalment 26,-1003.01,-644.49,-358.52,76181.05
Instalment 27,-1003.01,-647.49,-355.51,75533.56
Instalment 28,-1003.01,-650.52,-352.49,74883.04
Instalment 29,-1003.01,-653.55,-349.45,74229.49
Instalment 30,-1003.01,-656.6,-346.4,73572.89
Instalment 31,-1003.01,-659.67,-343.34,72913.22
Instalment 32,-1003.01,-662.74,-340.26,72250.47
Instalment 33,-1003.01,-665.84,-337.17,71584.64
Instalment 34,-1003.01,-668.94,-334.06,70915.69
Instalment 35,-1003.01,-672.07,-330.94,70243.63
Instalment 36,-1003.01,-675.2,-327.8,69568.42
Instalment 37,-1003.01,-678.35,-324.65,68890.07
Instalment 38,-1003.01,-681.52,-321.49,68208.55
Instalment 39,-1003.01,-684.7,-318.31,67523.85
Instalment 40,-1003.01,-687.9,-315.11,66835.95
Instalment 41,-1003.01,-691.11,-311.9,66144.85
Instalment 42,-1003.01,-694.33,-308.68,65450.52
Instalment 43,-1003.01,-697.57,-305.44,64752.95
Instalment 44,-1003.01,-700.83,-302.18,64052.12
Instalment 45,-1003.01,-704.1,-298.91,63348.02
Instalment 46,-1003.01,-707.38,-295.62,62640.64
Instalment 47,-1003.01,-710.68,-292.32,61929.96
Instalment 48,-1003.01,-714.0,-289.01,61215.96
Instalment 49,-1003.01,-717.33,-285.67,60498.63
Instalment 50,-1003.01,-720.68,-282.33,59777.95
Instalment 51,-1003.01,-724.04,-278.96,59053.9
Instalment 52,-1003.01,-727.42,-275.58,58326.48
Instalment 53,-1003.01,-730.82,-272.19,57595.67
Instalment 54,-1003.01,-734.23,-268.78,56861.44
Instalment 55,-1003.01,-737.65,-265.35,56123.79
Instalment 56,-1003.01,-741.1,-261.91,55382.69
Instalment 57,-1003.01,-744.55,-258.45,54638.14
Instalment 58,-1003.01,-748.03,-254.98,53890.11
Instalment 59,-1003.01,-751.52,-251.49,53138.59
Instalment 60,-1003.01,-755.03,-247.98,52383.56
Instalment 61,-1003.01,-758.55,-244.46,51625.01
Instalment 62,-1003.01,-762.09,-240.92,50862.92
Instalment 63,-1003.01,-765.65,-237.36,50097.28
Instalment 64,-1003.01,-769.22,-233.79,49328.06
Instalment 65,-1003.01,-772.81,-230.2,48555.25
Instalment 66,-1003.01,-776.42,-226.59,47778.83
Instalment 67,-1003.01,-780.04,-222.97,46998.79
Instalment 68,-1003.01,-783.68,-219.33,46215.11
Instalment 69,-1003.01,-787.34,-215.67,45427.78
Instalment 70,-1003.01,-791.01,-212.0,44636.77
Instalment 71,-1003.01,-794.7,-208.3,43842.07
Instalment 72,-1003.01,-798.41,-204.6,43043.66
Instalment 73,-1003.01,-802.14,-200.87,42241.52
Instalment 74,-1003.01,-805.88,-197.13,41435.64
Instalment 75,-1003.01,-809.64,-193.37,40626.0
Instalment 76,-1003.01,-813.42,-189.59,39812.58
Instalment 77,-1003.01,-817.21,-185.79,38995.37
Instalment 78,-1003.01,-821.03,-181.98,38174.34
Instalment 79,-1003.01,-824.86,-178.15,37349.48
Instalment 80,-1003.01,-828.71,-174.3,36520.77
Instalment 81,-1003.01,-832.58,-170.43,35688.19
Instalment 82,-1003.01,-836.46,-166.54,34851.73
Instalment 83,-1003.01,-840.37,-162.64,34011.37
Instalment 84,-1003.01,-844.29,-158.72,33167.08
Instalment 85,-1003.01,-848.23,-154.78,32318.85
Instalment 86,-1003.01,-852.19,-150.82,31466.67
Instalment 87,-1003.01,-856.16,-146.84,30610.51
Instalment 88,-1003.01,-860.16,-142.85,29750.35
Instalment 89,-1003.01,-864.17,-138.83,28886.18
Instalment 90,-1003.01,-868.2,-134.8,28017.97
Instalment 91,-1003.01,-872.26,-130.75,27145.72
Instalment 92,-1003.01,-876.33,-126.68,26269.39
Instalment 93,-1003.01,-880.42,-122.59,25388.97
Instalment 94,-1003.01,-884.52,-118.48,24504.45
Instalment 95,-1003.01,-888.65,-114.35,23615.8
Instalment 96,-1003.01,-892.8,-110.21,22723.0
Instalment 97,-1003.01,-896.97,-106.04,21826.03
Instalment 98,-1003.01,-901.15,-101.85,20924.88
Instalment 99,-1003.01,-905.36,-97.65,20019.52
Instalment 100,-1003.01,-909.58,-93.42,19109.94
Instalment 101,-1003.01,-913.83,-89.18,18196.11
Instalment 102,-1003.01,-918.09,-84.92,17278.02
Instalment 103,-1003.01,-922.38,-80.63,16355.65
Instalment 104,-1003.01,-926.68,-76.33,15428.97
Instalment 105,-1003.01,-931.0,-72.0,14497.96
Instalment 106,-1003.01,-935.35,-67.66,13562.61
Instalment 107,-1003.01,-939.71,-63.29,12622.9
Instalment 108,-1003.01,-944.1,-58.91,11678.8
Instalment 109,-1003.01,-948.51,-54.5,10730.29
Instalment 110,-1003.01,-952.93,-50.07,9777.36
Instalment 111,-1003.01,-957.38,-45.63,8819.98
Instalment 112,-1003.01,-961.85,-41.16,7858.14
Instalment 113,-1003.01,-966.34,-36.67,6891.8
Instalment 114,-1003.01,-970.84,-32.16,5920.96
Instalment 115,-1003.01,-975.38,-27.63,4945.58
Instalment 116,-1003.01,-979.93,-23.08,3965.65
Instalment 117,-1003.01,-984.5,-18.51,2981.15
Instalment 118,-1003.01,-989.09,-13.91,1992.06
Instalment 119,-1003.01,-993.71,-9.3,998.35
Instalment 120,-1003.01,-998.35,-4.66,-0.0
