Instalment no.,Monthly payment,Principal,Interest,Balance
Instalment 1,-312.12,-253.62,-58.5,13246.38
Instalment 2,-312.12,-254.72,-57.4,12991.66
Instalment 3,-312.12,-255.82,-56.3,12735.84
Instalment 4,-312.12,-256.93,-55.19,12478.91
Instalment 5,-312.12,-258.04,-54.08,12220.86
Instalment 6,-312.12,-259.16,-52.96,11961.7
Instalment 7,-312.12,-260.29,-51.83,11701.41
Instalment 8,-312.12,-261.41,-50.71,11440.0
Instalment 9,-312.12,-262.55,-49.57,11177.45
Instalment 10,-312.12,-263.68,-48.44,10913.77
Instalment 11,-312.12,-264.83,-47.29,10648.94
Instalment 12,-312.12,-265.97,-46.15,10382.97
Instalment 13,-312.12,-267.13,-44.99,10115.84
Instalment 14,-312.12,-268.28,-43.84,9847.55
Instalment 15,-312.12,-269.45,-42.67,9578.11
Instalment 16,-312.12,-270.61,-41.51,9307.49
Instalment 17,-312.12,-271.79,-40.33,9035.7
Instalment 18,-312.12,-272.97,-39.15,8762.74
Instalment 19,-312.12,-274.15,-37.97,8488.59
Instalment 20,-312.12,-275.34,-36.78,8213.26
Instalment 21,-312.12,-276.53,-35.59,7936.73
Instalment 22,-312.12,-277.73,-34.39,7659.0
Instalment 23,-312.12,-278.93,-33.19,7380.07
Instalment 24,-312.12,-280.14,-31.98,7099.93
Instalment 25,-312.12,-281.35,-30.77,6818.57
Instalment 26,-312.12,-282.57,-29.55,6536.0
Instalment 27,-312.12,-283.8,-28.32,6252.2
Instalment 28,-312.12,-285.03,-27.09,5967.18
Instalment 29,-312.12,-286.26,-25.86,5680.91
Instalment 30,-312.12,-287.5,-24.62,5393.41
Instalment 31,-312.12,-288.75,-23.37,5104.66
Instalment 32,-312.12,-290.0,-22.12,4814.66
Instalment 33,-312.12,-291.26,-20.86,4523.41
Instalment 34,-312.12,-292.52,-19.6,4230.89
Instalment 35,-312.12,-293.79,-18.33,3937.1
Instalment 36,-312.12,-295.06,-17.06,3642.04
Instalment 37,-312.12,-296.34,-15.78,3345.71
Instalment 38,-312.12,-297.62,-14.5,3048.08
Instalment 39,-312.12,-298.91,-13.21,2749.17
Instalment 40,-312.12,-300.21,-11.91,2448.96
Instalment 41,-312.12,-301.51,-10.61,2147.46
Instalment 42,-312.12,-302.81,-9.31,1844.64
Instalment 43,-312.12,-304.13,-7.99,1540.52
Instalment 44,-312.12,-305.44,-6.68,1235.07
Instalment 45,-312.12,-306.77,-5.35,928.3
Instalment 46,-312.12,-308.1,-4.02,620.21
Instalment 47,-312.12,-309.43,-2.69,310.77
Instalment 48,-312.12,-310.77,-1.35,-0.0
