Instalment no.,Monthly payment,Principal,Interest,Balance
Instalment 1,105.58,88.24,17.33,2222.76
Instalment 2,105.58,88.91,16.67,2133.85
Instalment 3,105.58,89.57,16.0,2044.27
Instalment 4,105.58,90.25,15.33,1954.03
Instalment 5,105.58,90.92,14.66,1863.11
Instalment 6,105.58,91.6,13.97,1771.5
Instalment 7,105.58,92.29,13.29,1679.21
Instalment 8,105.58,92.98,12.59,1586.23
Instalment 9,105.58,93.68,11.9,1492.55
Instalment 10,105.58,94.38,11.19,1398.16
Instalment 11,105.58,95.09,10.49,1303.07
Instalment 12,105.58,95.8,9.77,1207.27
Instalment 13,105.58,96.52,9.05,1110.75
Instalment 14,105.58,97.25,8.33,1013.5
Instalment 15,105.58,97.98,7.6,915.52
Instalment 16,105.58,98.71,6.87,816.81
Instalment 17,105.58,99.45,6.13,717.36
Instalment 18,105.58,100.2,5.38,617.16
Instalment 19,105.58,100.95,4.63,516.21
Instalment 20,105.58,101.71,3.87,414.51
Instalment 21,105.58,102.47,3.11,312.04
Instalment 22,105.58,103.24,2.34,208.8
Instalment 23,105.58,104.01,1.57,104.79
Instalment 24,105.58,104.79,0.79,0.0
